"Year","Player","Pos","HT","WT","Team","Selection Type","NBA Draft Status","Nationality"
1955,"Slater Martin","PG","5-10","170","Minneapolis Lakers","Western All-Star Coaches Selection","1949 Rnd 3 Pick 11","United States"
1955,"Vern Mikkelsen","F","6-7","230","Minneapolis Lakers","Western All-Star Coaches Selection","1949 Rnd 1 Pick 11","United States"
1955,"Bob Pettit","FC","6-9","205","Milwaukee Hawks","Western All-Star Coaches Selection","1954 Rnd 1 Pick 2","United States"
1955,"Andy Phillip","GF","6-2","195","Fort Wayne Pistons","Western All-Star Coaches Selection","1947 Rnd 5 Pick 7","United States"
1955,"Jim Pollard","F","6-4","185","Minneapolis Lakers","Western All-Star Fan Vote Selection","1947 Rnd 7 Pick 5","United States"
1955,"Arnie Risen","C","6-9","200","Rochester Royals","Western All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1955,"Frank Selvy","SG","6-3","180","Milwaukee Hawks","Western All-Star Fan Vote Selection","1954 Rnd 1 Pick 1","United States"
1955,"Bobby Wanzer","G","6-0","170","Rochester Royals","Western All-Star Fan Vote Selection","1948 Rnd 1 Pick 10","United States"
1955,"George Yardley","GF","6-5","190","Fort Wayne Pistons","Western All-Star Fan Vote Selection","1950 Rnd 1 Pick 8","United States"
1956,"Paul Arizin","GF","6-4","190","San Francisco Warriors","Eastern All-Star Fan Vote Selection","1950 Rnd 1 Pick 3","United States"
1956,"Carl Braun","SG","6-5","180","New York Knicks","Eastern All-Star Coaches Selection"," NBA Draft, Undrafted","United States"
1956,"Bob Cousy","PG","6-1","175","Boston Celtics","Eastern All-Star Fan Vote Selection","1950 NBA Draft, Undrafted","United States"
1956,"Harry Gallatin","FC","6-6","210","New York Knicks","Eastern All-Star Coaches Selection","1947 Rnd 4 Pick 10","United States"
1956,"Jack George","G","6-2","190","San Francisco Warriors","Eastern All-Star Coaches Selection","1953 Rnd 13 Pick 1","United States"
1956,"Neil Johnston","C","6-8","210","San Francisco Warriors","Eastern All-Star Fan Vote Selection","1948 NBA Draft, Undrafted","United States"
