Season,Year,Name,Position
2004-05,2005,Kobe Bryant,G
2003-04,2004,Tim Duncan ,F
2003-04,2004,Kevin Garnett ,F
2003-04,2004,Shaquille O'Neal ,C
2003-04,2004,Kobe Bryant ,G
2003-04,2004,Jason Kidd,G
2003-04,2004,Tracy McGrady ,F
2003-04,2004,Peja Stojakovic ,F
2003-04,2004,Jermaine O'Neal ,F
2003-04,2004,Ben Wallace ,C
2003-04,2004,Sam Cassell,G
2003-04,2004,Ron Artest ,F
2003-04,2004,Dirk Nowitzki ,F
2003-04,2004,Yao Ming ,C
2003-04,2004,Baron Davis ,G
2003-04,2004,Michael Redd,G
2002-03,2003,Tim Duncan ,F
2002-03,2003,Kevin Garnett ,F
2002-03,2003,Shaquille O'Neal ,C
2002-03,2003,Kobe Bryant ,G
2002-03,2003,Tracy McGrady,G
2002-03,2003,Dirk Nowitzki ,F
2002-03,2003,Chris Webber ,F
2002-03,2003,Ben Wallace ,C
2002-03,2003,Allen Iverson ,G
2002-03,2003,Jason Kidd,G
2002-03,2003,Jamal Mashburn ,F
2002-03,2003,Paul Pierce ,F
2002-03,2003,Jermaine O'Neal ,C
2002-03,2003,Stephon Marbury ,G
2002-03,2003,Steve Nash,G
2001-02,2002,Tim Duncan ,F
2001-02,2002,Tracy McGrady ,F
2001-02,2002,Shaquille O'Neal ,C
2001-02,2002,Kobe Bryant ,G
2001-02,2002,Jason Kidd,G
2001-02,2002,Kevin Garnett ,F
2001-02,2002,Chris Webber ,F
2001-02,2002,Dirk Nowitzki ,C
2001-02,2002,Allen Iverson ,G
2001-02,2002,Gary Payton,G
2001-02,2002,Jermaine O'Neal ,F
2001-02,2002,Ben Wallace ,F
2001-02,2002,Dikembe Mutombo ,C
2001-02,2002,Steve Nash ,G
2001-02,2002,Paul Pierce,G
2000-01,2001,Tim Duncan ,F
2000-01,2001,Chris Webber ,F
2000-01,2001,Shaquille O'Neal ,C
2000-01,2001,Allen Iverson ,G
2000-01,2001,Jason Kidd,G
2000-01,2001,Kevin Garnett ,F
2000-01,2001,Vince Carter ,F
2000-01,2001,Dikembe Mutombo ,C
2000-01,2001,Kobe Bryant ,G
2000-01,2001,Tracy McGrady,G
2000-01,2001,Karl Malone ,F
2000-01,2001,Dirk Nowitzki ,F
2000-01,2001,David Robinson ,C
2000-01,2001,Ray Allen ,G
2000-01,2001,Gary Payton,G
1999-00,2000,Tim Duncan ,F
1999-00,2000,Kevin Garnett ,F
1999-00,2000,Shaquille O'Neal ,C
1999-00,2000,Gary Payton ,G
1999-00,2000,Jason Kidd,G
1999-00,2000,Grant Hill ,F
1999-00,2000,Karl Malone ,F
1999-00,2000,Alonzo Mourning ,C
1999-00,2000,Kobe Bryant ,G
