"Year","Player","Pos","HT","WT","Team","Selection Type","NBA Draft Status","Nationality"
1994,"Larry Johnson","F","6-6","250","Charlotte Hornets","Eastern All-Star Coaches Selection","1991 Rnd 1 Pick 1","United States"
1994,"Reggie Miller","SG","6-7","185","Indiana Pacers","Eastern All-Star Fan Vote Selection","1987 Rnd 1 Pick 11","United States"
1994,"Alonzo Mourning","C","6-10","240","Charlotte Hornets","Eastern All-Star Coaches Selection","1992 Rnd 1 Pick 2","United States"
1994,"Shaquille O'Neal","C","7-1","325","Orlando Magic","Eastern All-Star Fan Vote Selection","1992 Rnd 1 Pick 1","United States"
1994,"Scottie Pippen","SF","6-8","228","Chicago Bulls","Eastern All-Star Fan Vote Selection","1987 Rnd 1 Pick 5","United States"
1995,"Charles Barkley","PF","6-6","252","Phoenix Suns","Western All-Star Fan Vote Selection","1984 Rnd 1 Pick 5","United States"
1995,"Clyde Drexler","SG","6-7","210","Houston Rockets","Western All-Star Fan Vote Selection","1983 Rnd 1 Pick 14","United States"
1995,"Sean Elliott","SF","6-8","205","San Antonio Spurs","Western All-Star Coaches Selection","1989 Rnd 1 Pick 3","United States"
1995,"Shawn Kemp","C","6-10","280","Seattle SuperSonics","Western All-Star Fan Vote Selection","1989 Rnd 1 Pick 17","United States"
1995,"Jason Kidd","PG","6-4","210","Dallas Mavericks","Western All-Star Fan Vote Selection","1994 Rnd 1 Pick 2","United States"
1995,"Karl Malone","PF","6-9","265","Utah Jazz","Western All-Star Coaches Selection","1985 Rnd 1 Pick 13","United States"
1995,"Dikembe Mutombo","C","7-2","260","Denver Nuggets","Western All-Star Coaches Selection","1991 Rnd 1 Pick 4","Democratic Republic of the Congo"
1995,"Hakeem Olajuwon","C","7-0","255","Houston Rockets","Western All-Star Fan Vote Selection","1984 Rnd 1 Pick 1","NigeriaUnited States"
1995,"Gary Payton","G","6-4","180","Seattle SuperSonics","Western All-Star Coaches Selection","1990 Rnd 1 Pick 2","United States"
1995,"Mitch Richmond","SG","6-5","215","Sacramento Kings","Western All-Star Coaches Selection","1988 Rnd 1 Pick 5","United States"
1995,"David Robinson","C","7-1","250","San Antonio Spurs","Western All-Star Coaches Selection","1987 Rnd 1 Pick 1","United States"
1995,"John Stockton","PG","6-1","170","Utah Jazz","Western All-Star Coaches Selection","1984 Rnd 1 Pick 16","United States"
1995,"Vin Baker","PF","6-11","240","Milwaukee Bucks","Eastern All-Star Coaches Selection","1993 Rnd 1 Pick 8","United States"
1995,"Terrell Brandon","PG","5-11","180","Cleveland Cavaliers","Eastern All-Star Coaches Selection","1991 Rnd 1 Pick 11","United States"
1995,"Patrick Ewing","C","7-0","240","New York Knicks","Eastern All-Star Coaches Selection","1985 Rnd 1 Pick 1","United StatesJamaica"
1995,"Penny Hardaway","PG","6-7","195","Orlando Magic","Eastern All-Star Fan Vote Selection","1993 Rnd 1 Pick 3","United States"
1995,"Grant Hill","SF","6-8","225","Detroit Pistons","Eastern All-Star Fan Vote Selection","1994 Rnd 1 Pick 3","United States"
1995,"Juwan Howard","PF","6-9","240","Washington Bullets","Eastern All-Star Coaches Selection","1994 Rnd 1 Pick 5","United States"
1995,"Michael Jordan","SG","6-6","215","Chicago Bulls","Eastern All-Star Fan Vote Selection","1984 Rnd 1 Pick 3","United States"
1995,"Reggie Miller","SG","6-7","185","Indiana Pacers","Eastern All-Star Coaches Selection","1987 Rnd 1 Pick 11","United States"
1995,"Alonzo Mourning","C","6-10","240","Miami Heat","Eastern All-Star Coaches Selection","1992 Rnd 1 Pick 2","United States"
1995,"Shaquille O'Neal","C","7-1","325","Orlando Magic","Eastern All-Star Fan Vote Selection","1992 Rnd 1 Pick 1","United States"
1995,"Scottie Pippen","SF","6-8","228","Chicago Bulls","Eastern All-Star Fan Vote Selection","1987 Rnd 1 Pick 5","United States"
1995,"Glen Rice","SF","6-8","228","Charlotte Hornets","Eastern All-Star Coaches Selection","1989 Rnd 1 Pick 4","United States"
1996,"Vin Baker","PF","6-11","240","Milwaukee Bucks","Eastern All-Star Coaches Selection","1993 Rnd 1 Pick 8","United States"
1996,"Terrell Brandon","PG","5-11","180","Cleveland Cavaliers","Eastern All-Star Coaches Selection","1991 Rnd 1 Pick 11","United States"
1996,"Joe Dumars","SG","6-3","190","Detroit Pistons","Eastern All-Star Replacement Selection","1985 Rnd 1 Pick 18","United States"
1996,"Patrick Ewing","C","7-0","240","New York Knicks","Eastern All-Star Fan Vote Selection","1985 Rnd 1 Pick 1","United StatesJamaica"
1996,"Penny Hardaway","PG","6-7","195","Orlando Magic","Eastern All-Star Fan Vote Selection","1993 Rnd 1 Pick 3","United States"
1996,"Tim Hardaway","PG","6-0","175","Miami Heat","Eastern All-Star Coaches Selection","1989 Rnd 1 Pick 14","United States"
1996,"Grant Hill","SF","6-8","225","Detroit Pistons","Eastern All-Star Fan Vote Selection","1994 Rnd 1 Pick 3","United States"
1996,"Michael Jordan","SG","6-6","215","Chicago Bulls","Eastern All-Star Fan Vote Selection","1984 Rnd 1 Pick 3","United States"
1996,"Christian Laettner","PF","6-11","245","Atlanta Hawks","Eastern All-Star Coaches Selection","1992 Rnd 1 Pick 3","United States"
1996,"Alonzo Mourning","C","6-10","240","Miami Heat","Eastern All-Star Coaches Selection","1992 Rnd 1 Pick 2","United States"
1996,"Dikembe Mutombo","C","7-2","260","Atlanta Hawks","Eastern All-Star Coaches Selection","1991 Rnd 1 Pick 4","Democratic Republic of the Congo"
1996,"Scottie Pippen","SF","6-8","228","Chicago Bulls","Eastern All-Star Fan Vote Selection","1987 Rnd 1 Pick 5","United States"
1996,"Glen Rice","SF","6-8","228","Charlotte Hornets","Eastern All-Star Coaches Selection","1989 Rnd 1 Pick 4","United States"
1996,"Chris Webber","F-C","6-9","245","Washington Bullets","Eastern All-Star Replacement Selection","1993 Rnd 1 Pick 1","United States"
1996,"Charles Barkley","PF","6-6","252","Houston Rockets","Western All-Star Fan Vote Selection","1984 Rnd 1 Pick 5","United States"
1996,"Clyde Drexler","SG","6-7","210","Houston Rockets","Western All-Star Coaches Selection","1983 Rnd 1 Pick 14","United States"
1996,"Kevin Garnett","PF","6-11","240","Minnesota Timberwolves","Western All-Star Replacement Selection","1995 Rnd 1 Pick 5","United States"
1996,"Chris Gatling","PF","6-10","220","Dallas Mavericks","Western All-Star Replacement Selection","1991 Rnd 1 Pick 16","United States"
1996,"Tom Gugliotta","PF","6-10","240","Minnesota Timberwolves","Western All-Star Coaches Selection","1992 Rnd 1 Pick 6","United States"
1996,"Eddie Jones","G-F","6-6","200","Los Angeles Lakers","Western All-Star Coaches Selection","1994 Rnd 1 Pick 10","United States"
1996,"Shawn Kemp","C","6-10","280","Seattle SuperSonics","Western All-Star Fan Vote Selection","1989 Rnd 1 Pick 17","United States"
1996,"Karl Malone","PF","6-9","265","Utah Jazz","Western All-Star Coaches Selection","1985 Rnd 1 Pick 13","United States"
